rank,brand,ig_follow,ig_hash,ig_engagement_rate,annual_searches,year_search_change,score
1,Huda Beauty,49500000,29500000,0.0003,7000000,-0.301,6.54
2,M·A·C Cosmetics,24200000,20600000,0.0003,8700000,0.009,4.98
3,Anastasia Beverly Hills,19500000,25700000,0.0004,3000000,-0.189,4.96
4,Avon,161000,6800000,0.0012,37300000,-0.165,4.88
5,The Body Shop,2300000,1500000,0.0014,38000000,0.154,4.49
6,Yves Rocher,882000,1200000,0.0031,33100000,0.064,4.36
7,Florence By Mills,2600000,969500,0.0231,5000000,0.44,4.34
8,Lush,4000000,7700000,0.0015,25000000,0.118,4.31
9,Oriflame,813000,6400000,0.0033,22900000,-0.061,4.26
10,Kylie Cosmetics,25400000,4900000,0.0017,5300000,-0.166,4.11
11,Morphe,10600000,8000000,0.0008,8400000,-0.455,04.02
12,ColourPop Cosmetics,10000000,6100000,0.0016,11600000,-0.255,3.98
13,NYX Professional Makeup,14700000,8500000,0.0005,8000000,-0.088,3.93
14,Rituals,771000,1400000,0.0052,23400000,0.272,3.92
15,Glossier,2700000,741700,0.0089,8900000,-0.281,3.84
16,Urban Decay,10800000,11700000,0.0003,4100000,-0.183,3.83
17,Olaplex,2200000,12600000,0.0015,16400000,0.661,3.78
18,Maybelline,11000000,6700000,0.0006,8700000,0.042,3.66
19,L'Oreal Paris,9400000,7900000,0.0003,10200000,0.156,3.65
20,Too Faced,12800000,6400000,0.0004,3100000,-0.292,3.6
21,Benefit,10000000,3900000,0.0002,10100000,0.034,3.49
22,Fenty Beauty,10900000,5300000,0.0009,6200000,0.006,3.48
23,Tarte Cosmetics,9900000,4300000,0.0003,3400000,-0.319,3.4
24,Estée Lauder,4100000,2700000,0.0004,12800000,-0.032,3.4
25,CeraVe,535000,225700,0.0044,20700000,0.69,3.4
26,Clinique,3300000,2200000,0.0004,12600000,-0.075,3.35
27,NARS Cosmetics,8300000,5200000,0.0006,4300000,-0.008,3.28
28,Kiehl's,934000,747900,0.0012,12900000,-0.062,3.25
29,Aussie,66400,10100000,0.001,3000000,-0.003,3.23
